franchise_root_title,music_score,visual_score,story_score,character_score,site_score,cover_image_url,cover_image_color,anilist_title_match,anilist_page
2200-nen Neko no Kuni Nippon,5.0,4.0,4.0,1.0,5.57,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx199009-MxwkHEavznVW.jpg,#e4436b,2200-nen Neko no Kuni Nippon,https://anilist.co/anime/199009
Akujiki Reijou to Kyouketsu Koushaku,4.83,4.67,4.33,2.83,7.21,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx183291-qm3bQT1wpmka.jpg,#e45d43,"Akujiki Reijou to Kyouketsu Koushaku: Sono Mamono, Watashi ga Oishiku Itadakimasu!",https://anilist.co/anime/183291
Alma-chan wa Kazoku ni Naritai,5.0,4.67,4.0,4.0,7.11,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx186190-Ru77wfF8I61X.jpg,#e45da1,Alma-chan wa Kazoku ni Naritai,https://anilist.co/anime/186190
Ansatsusha de Aru Ore no Status ga Yuusha yori mo Akiraka ni Tsuyoi no da ga,4.65,3.86,3.22,2.08,7.07,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx186794-Ns8xWNdMdOxq.jpg,#4378e4,Ansatsusha de Aru Ore no Status ga Yuusha yori mo Akiraka ni Tsuyoi no da ga,https://anilist.co/anime/186794
Ao no Orchestra,5.0,4.08,3.92,3.92,7.17,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx147369-Aodog1O7Nhuq.png,#1a78ae,Ao no Orchestra,https://anilist.co/anime/147369
Beyblade X,4.62,4.0,3.75,3.25,6.86,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx165159-aCFC9Sng7t4M.png,#28aee4,BEYBLADE X,https://anilist.co/anime/165159
Boku no Hero Academia,4.82,4.05,3.65,3.09,7.87,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx21459-nYh85uj2Fuwr.jpg,#ffd600,Boku no Hero Academia,https://anilist.co/anime/21459
Bonobono (TV 2016),5.0,5.0,5.0,5.0,6.43,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/4286.jpg,#e4a15d,BONOBONO,https://anilist.co/anime/4286
Bukiyou na Senpai.,5.0,4.25,4.25,3.5,6.85,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx185575-moQeN8f5xRBv.jpg,,Bukiyou na Senpai.,https://anilist.co/anime/185575
Chanto Suenai Kyuuketsuki-chan,5.0,5.0,3.33,2.33,6.7,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx186524-JSsyFR3FqTO8.jpg,#f1ae50,,https://anilist.co/anime/186524
